CODE;SHORTNAME;CLASS;ACCOUNT
SRU2;SBRF-9.22;SPBFUT;futures
GZU2;GAZR-9.22;SPBFUT;futures
CRU2;CNY-9.22;SPBFUT;futures
USD000UTSTOM;USDRUB_TOM;CETS;currency
USD000000TOD;USDRUB_TOD;CETS;currency
EUR_RUB__TOM;EURRUB_TOM;CETS;currency
EUR_RUB__TOD;EURRUB_TOD;CETS;currency
CNYRUB_TOM;CNYRUB_TOM;CETS;currency
CNY000000TOD;CNYRUB_TOD;CETS;currency
SiZ2;Si-9.22;SPBFUT;futures
BRZ2;BR-9.22;SPBFUT;futures
BRV2;BR-10.22;SPBFUT;futures
BRX2;BR-11.22;SPBFUT;futures
NGQ2;NG-8.22;SPBFUT;futures
NGZ2;NG-9.22;SPBFUT;futures
NGV2;NG-10.22;SPBFUT;futures
EuZ2;Eu-9.22;SPBFUT;futures
RIZ2;RTS-9.22;SPBFUT;futures
EDZ2;ED-9.22;SPBFUT;futures
GDZ2;GOLD-9.22;SPBFUT;futures
SFZ2;SPYF-9.22;SPBFUT;futures
SVZ2;SILV-9.22;SPBFUT;futures
RMZ2;RTSM-9.22;SPBFUT;futures
VBZ2;VTBR-9.22;SPBFUT;futures
SRZ2;SBRF-9.22;SPBFUT;futures
GZZ2;GAZR-9.22;SPBFUT;futures
CRZ2;CNY-9.22;SPBFUT;futures
